device,videoName,luminanceReduction,bitrate,Power
BrandA-Model1,gameplay_4k_10s_luminance_60,1,2400,35.14
BrandA-Model1,timescapes_4k_8s_luminance_100,1,2400,41.3
BrandA-Model1,tos_4k_10s_luminance_120,1,2400,55.339999999999996
BrandA-Model1,tos_4k_10s_luminance_80,1,2400,34.82
BrandA-Model2,gameplay_4k_10s_luminance_60,1,2400,38.36
BrandA-Model2,timescapes_4k_8s_luminance_100,1,2400,44.875
BrandA-Model2,tos_4k_10s_luminance_120,1,2400,57.98
BrandA-Model2,tos_4k_10s_luminance_80,1,2400,38.98
BrandA-Model3,gameplay_4k_10s_luminance_60,1,2400,53.0
BrandA-Model3,timescapes_4k_8s_luminance_100,1,2400,65.1
BrandA-Model3,tos_4k_10s_luminance_120,1,2400,105.62
BrandA-Model3,tos_4k_10s_luminance_80,1,2400,53.760000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,1,2400,64.76
BrandB-Model1,timescapes_4k_8s_luminance_100,1,2400,84.4
BrandB-Model1,tos_4k_10s_luminance_120,1,2400,100.06
BrandB-Model1,tos_4k_10s_luminance_80,1,2400,69.14
BrandA-Model1,gameplay_4k_10s_luminance_60,1,4500,36.2
BrandA-Model1,timescapes_4k_8s_luminance_100,1,4500,41.459999999999994
BrandA-Model1,tos_4k_10s_luminance_120,1,4500,55.36
BrandA-Model1,tos_4k_10s_luminance_80,1,4500,35.44
BrandA-Model2,gameplay_4k_10s_luminance_60,1,4500,39.62
BrandA-Model2,timescapes_4k_8s_luminance_100,1,4500,44.94
BrandA-Model2,tos_4k_10s_luminance_120,1,4500,58.160000000000004
BrandA-Model2,tos_4k_10s_luminance_80,1,4500,39.480000000000004
BrandA-Model3,gameplay_4k_10s_luminance_60,1,4500,54.4
BrandA-Model3,timescapes_4k_8s_luminance_100,1,4500,67.24
BrandA-Model3,tos_4k_10s_luminance_120,1,4500,103.8
BrandA-Model3,tos_4k_10s_luminance_80,1,4500,55.08
BrandB-Model1,gameplay_4k_10s_luminance_60,1,4500,65.53999999999999
BrandB-Model1,timescapes_4k_8s_luminance_100,1,4500,84.52000000000001
BrandB-Model1,tos_4k_10s_luminance_120,1,4500,102.2
BrandB-Model1,tos_4k_10s_luminance_80,1,4500,68.22
